RowNumber,CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15000001,Cust00001,543,Spain,Male,43,4,67427.61,1,0,0,149.35,0
15000002,Cust00002,723,Germany,Male,41,9,173911.19,1,0,0,40.48,1
15000003,Cust00003,595,Spain,Male,32,8,109638.72,1,1,0,45.36,0
15000004,Cust00004,596,France,Male,27,2,0.0,2,1,1,110.18,0
15000005,Cust00005,582,Germany,Female,26,1,95483.33,1,0,1,66.22,0
15000006,Cust00006,513,Spain,Male,18,7,80186.75,2,1,0,159.4,0
15000007,Cust00007,592,Germany,Female,32,9,82877.2,1,0,0,125.83,0
15000008,Cust00008,827,Germany,Male,48,3,38694.19,2,1,1,29.46,0
15000009,Cust00009,627,Germany,Male,37,5,10421.92,1,1,0,17.5,0
15000010,Cust00010,461,France,Male,42,2,88949.54,2,1,0,136.22,0
15000011,Cust00011,670,Germany,Male,23,3,88205.4,2,1,1,194.25,0
15000012,Cust00012,621,France,Female,47,3,68829.81,2,1,1,185.23,1
15000013,Cust00013,520,France,Female,21,9,31369.66,1,1,1,167.63,0
15000014,Cust00014,613,Germany,Female,28,1,96093.21,2,0,0,113.57,0
15000015,Cust00015,705,Germany,Female,30,9,113923.93,1,1,1,12.04,0
15000016,Cust00016,620,Germany,Male,47,10,23968.51,2,1,1,148.78,1
15000017,Cust00017,632,France,Female,41,0,136483.8,3,1,0,73.54,0
15000018,Cust00018,780,France,Female,33,10,126376.6,2,0,0,72.46,0
15000019,Cust00019,743,France,Male,37,9,138219.04,1,0,0,33.6,0
15000020,Cust00020,800,Germany,Female,46,3,73778.79,1,0,0,117.08,0
15000021,Cust00021,513,Germany,Male,18,2,126957.96,2,0,1,15.8,0
15000022,Cust00022,684,Spain,Male,49,8,62380.34,2,0,1,107.12,0
15000023,Cust00023,629,Spain,Female,54,7,43867.25,2,1,0,54.24,1
15000024,Cust00024,681,France,Male,33,9,132754.93,2,0,0,41.47,1
15000025,Cust00025,781,Spain,Male,32,1,107822.58,3,1,0,179.69,0
15000026,Cust00026,618,France,Female,39,3,32472.71,2,1,0,180.36,0
15000027,Cust00027,395,Germany,Male,33,1,0.0,1,1,1,165.6,0
15000028,Cust00028,572,France,Male,41,10,54751.7,2,0,0,52.98,0
15000029,Cust00029,559,France,Male,36,3,101051.15,1,1,0,109.05,0
15000030,Cust00030,647,France,Male,53,1,0.0,1,0,0,194.67,0
15000031,Cust00031,695,Spain,Male,38,1,228721.01,3,0,0,20.73,1
15000032,Cust00032,537,France,Female,35,0,73847.87,1,0,1,56.28,0
15000033,Cust00033,573,Germany,Female,50,4,122619.85,1,1,0,55.91,1
15000034,Cust00034,850,France,Male,53,9,112385.14,2,0,1,130.51,1
15000035,Cust00035,813,Spain,Male,27,0,40889.54,3,0,0,18.71,1
15000036,Cust00036,656,France,Male,47,6,0.0,1,0,0,14.14,0
15000037,Cust00037,709,France,Female,26,4,105362.73,1,1,0,141.59,0
15000038,Cust00038,619,France,Female,36,7,27438.3,1,0,0,36.99,0
15000039,Cust00039,780,Germany,Male,46,1,0.0,2,1,0,165.45,0
15000040,Cust00040,725,Germany,Male,65,5,92112.73,1,1,1,56.71,0
15000041,Cust00041,709,Germany,Male,24,10,0.0,2,1,0,148.21,0
15000042,Cust00042,581,France,Male,51,1,94170.49,2,0,1,26.9,0
15000043,Cust00043,720,France,Female,58,3,105377.64,2,1,1,134.22,0
15000044,Cust00044,571,Germany,Male,27,1,147832.93,2,1,0,55.84,1
15000045,Cust00045,566,Germany,Female,48,2,101592.42,2,1,0,135.29,1
15000046,Cust00046,571,Germany,Male,39,8,20850.11,1,1,0,80.5,0
15000047,Cust00047,766,France,Female,37,0,97151.42,2,0,0,179.6,0
15000048,Cust00048,850,France,Female,43,9,59591.28,2,0,0,106.0,0
15000049,Cust00049,654,Germany,Female,44,0,22856.23,1,1,1,64.07,0
15000050,Cust00050,718,Germany,Male,36,4,62145.31,1,0,1,44.47,0
15000051,Cust00051,606,Germany,Male,43,3,71484.61,2,1,1,193.12,0
15000052,Cust00052,732,Germany,Male,46,3,48316.07,1,0,1,83.78,0
15000053,Cust00053,710,Germany,Female,40,5,0.0,2,1,1,187.93,0
15000054,Cust00054,540,France,Female,57,2,79608.94,2,1,0,29.37,1
15000055,Cust00055,557,France,Female,41,6,110768.64,2,0,1,142.74,0
15000056,Cust00056,699,France,Male,53,6,107932.19,1,0,1,66.49,0
15000057,Cust00057,777,Germany,Female,43,9,314869.35,1,0,1,161.88,0
15000058,Cust00058,722,Spain,Female,48,6,56453.31,2,0,0,161.4,0
15000059,Cust00059,646,Germany,Male,29,9,61317.25,2,1,0,120.29,1
15000060,Cust00060,495,France,Female,32,7,118548.13,1,0,1,113.56,0
15000061,Cust00061,799,Germany,Male,32,10,143514.94,1,1,0,35.01,0
15000062,Cust00062,670,Germany,Female,39,3,30717.27,2,0,0,51.79,1
15000063,Cust00063,780,Germany,Male,38,7,35600.78,1,0,1,113.18,0
15000064,Cust00064,667,France,Male,47,1,0.0,2,0,0,195.44,0
15000065,Cust00065,575,Spain,Female,30,0,128850.87,2,0,1,93.97,1
15000066,Cust00066,587,France,Female,56,7,46553.39,2,1,1,43.75,0
15000067,Cust00067,686,Spain,Female,57,7,101108.87,1,0,1,135.78,0
15000068,Cust00068,603,Spain,Male,56,4,0.0,1,1,0,126.62,1
15000069,Cust00069,627,France,Male,51,2,32124.49,1,1,0,13.72,0
15000070,Cust00070,551,France,Female,58,5,0.0,2,1,0,29.49,1
15000071,Cust00071,798,France,Male,35,9,0.0,1,0,1,86.32,0
15000072,Cust00072,512,France,Female,52,8,165358.94,2,0,1,19.56,1
15000073,Cust00073,630,France,Male,50,6,76634.45,1,1,0,135.49,0
15000074,Cust00074,713,Germany,Male,38,6,83038.08,2,0,0,121.71,0
15000075,Cust00075,715,France,Female,55,2,0.0,1,1,1,97.61,1
15000076,Cust00076,590,France,Female,38,4,93421.5,2,1,1,83.97,0
15000077,Cust00077,590,France,Male,35,5,45433.94,1,0,0,170.68,0
15000078,Cust00078,679,Germany,Male,34,0,131775.19,2,0,0,142.68,0
15000079,Cust00079,702,France,Male,46,7,115036.99,2,1,0,64.3,0
15000080,Cust00080,661,Germany,Male,30,2,74704.1,3,0,0,163.49,0
15000081,Cust00081,799,Spain,Female,52,6,39322.57,3,0,0,75.41,0
15000082,Cust00082,652,Germany,Male,33,1,156939.69,2,1,0,153.61,0
15000083,Cust00083,623,Spain,Male,45,5,56763.46,2,1,0,84.56,0
15000084,Cust00084,707,France,Female,31,7,82013.75,1,1,1,190.56,0
15000085,Cust00085,765,France,Female,28,9,205728.01,2,1,1,66.42,0
15000086,Cust00086,710,Spain,Female,24,5,114695.43,2,0,1,153.2,0
15000087,Cust00087,449,France,Female,37,9,20370.23,2,1,1,21.88,1
15000088,Cust00088,619,Germany,Male,57,7,24819.17,1,1,1,178.78,1
15000089,Cust00089,608,Spain,Female,42,8,41049.08,1,0,0,127.84,1
15000090,Cust00090,672,France,Male,40,7,46795.63,2,1,1,166.33,0
15000091,Cust00091,586,France,Male,22,6,0.0,2,1,1,164.62,0
15000092,Cust00092,791,Spain,Female,52,8,95276.27,1,1,1,26.78,0
15000093,Cust00093,620,France,Male,47,5,66083.81,1,0,0,32.02,1
15000094,Cust00094,570,France,Female,37,1,96008.55,2,1,0,99.58,0
15000095,Cust00095,511,France,Male,43,4,171029.81,1,0,1,192.85,0
15000096,Cust00096,651,France,Female,28,1,89893.73,2,1,1,175.17,0
15000097,Cust00097,850,France,Male,39,4,28073.39,3,1,0,194.2,0
15000098,Cust00098,576,France,Male,42,9,209497.31,2,0,0,142.5,1
15000099,Cust00099,639,Spain,Female,47,1,87367.2,4,0,1,19.59,0
15000100,Cust00100,592,Germany,Male,48,8,23937.25,1,1,1,128.21,0
15000101,Cust00101,466,Germany,Female,18,9,43403.19,2,0,0,121.31,0
15000102,Cust00102,697,France,Male,41,2,20298.29,1,0,0,164.81,1
15000103,Cust00103,642,France,Female,23,4,189550.44,1,1,1,187.29,0
15000104,Cust00104,779,France,Male,34,4,0.0,2,0,1,164.19,1
15000105,Cust00105,639,France,Male,36,4,152744.61,2,0,0,89.4,1
15000106,Cust00106,654,France,Female,37,7,76325.11,1,1,1,174.43,0
15000107,Cust00107,518,Spain,Female,33,7,114616.7,1,0,1,96.15,0
15000108,Cust00108,772,Spain,Male,43,1,0.0,1,0,1,137.95,0
15000109,Cust00109,661,Germany,Male,41,7,29593.83,2,1,1,109.34,0
15000110,Cust00110,818,Spain,Female,55,1,203766.37,2,1,1,172.06,0
15000111,Cust00111,792,France,Male,35,5,136237.4,1,1,1,36.33,0
15000112,Cust00112,481,France,Male,47,7,141622.32,1,1,1,51.25,1
15000113,Cust00113,669,Germany,Male,24,10,0.0,2,1,1,181.89,1
15000114,Cust00114,517,Spain,Female,18,10,176974.16,1,0,0,159.11,0
15000115,Cust00115,649,France,Female,19,7,72556.04,2,1,0,97.78,1
15000116,Cust00116,714,Spain,Male,42,2,0.0,1,0,1,73.13,1
15000117,Cust00117,721,Germany,Male,42,7,17727.45,3,0,1,45.38,0
15000118,Cust00118,698,France,Female,34,6,14884.99,2,1,0,100.58,0
15000119,Cust00119,512,France,Male,32,9,26841.88,2,0,0,44.45,0
15000120,Cust00120,653,Germany,Female,35,5,197812.96,3,1,0,79.85,1
15000121,Cust00121,731,France,Female,30,2,89266.75,1,1,1,176.11,0
15000122,Cust00122,594,Germany,Female,31,7,43108.93,3,0,0,152.42,0
15000123,Cust00123,589,France,Female,34,0,0.0,1,1,1,127.85,0
15000124,Cust00124,679,Spain,Male,18,7,111746.53,3,0,1,152.27,0
15000125,Cust00125,796,Germany,Female,71,1,145413.64,2,1,0,31.26,0
15000126,Cust00126,513,France,Male,18,1,29106.25,2,1,1,56.83,0
15000127,Cust00127,670,France,Male,30,5,8944.02,2,1,1,33.64,0
15000128,Cust00128,792,Germany,Female,48,8,75505.7,1,0,0,139.35,0
15000129,Cust00129,607,Germany,Male,38,1,22600.38,1,0,0,121.91,0
15000130,Cust00130,517,Spain,Male,55,0,21711.67,1,0,1,35.11,0
15000131,Cust00131,652,France,Male,48,8,194383.83,1,0,0,78.3,1
15000132,Cust00132,603,Spain,Female,39,9,35660.16,2,1,0,55.84,1
15000133,Cust00133,409,Spain,Female,31,4,22432.57,2,1,1,43.77,0
15000134,Cust00134,562,France,Female,45,5,61185.22,4,1,1,196.67,0
15000135,Cust00135,700,France,Female,31,3,122834.26,4,1,0,43.3,1
15000136,Cust00136,702,Spain,Female,40,4,0.0,1,1,1,116.23,1
15000137,Cust00137,676,Germany,Male,30,9,111377.12,2,1,0,72.18,0
15000138,Cust00138,563,France,Male,18,9,92102.8,1,0,0,56.82,0
15000139,Cust00139,850,Spain,Female,45,7,0.0,1,1,0,40.17,1
15000140,Cust00140,613,France,Female,20,2,22654.37,1,1,1,20.79,0
15000141,Cust00141,756,France,Female,49,4,40232.7,2,1,0,59.13,0
15000142,Cust00142,573,France,Male,46,10,0.0,2,1,1,123.58,1
15000143,Cust00143,666,France,Female,44,8,63411.19,1,1,1,167.99,0
15000144,Cust00144,635,Germany,Female,38,1,81368.57,2,1,0,45.25,0
15000145,Cust00145,592,Germany,Female,50,9,91774.09,1,0,1,37.42,0
15000146,Cust00146,609,France,Female,44,1,100456.03,1,0,1,41.93,0
15000147,Cust00147,624,France,Male,41,8,204674.85,1,1,1,78.82,0
15000148,Cust00148,553,Spain,Female,48,9,0.0,2,0,1,165.34,0
15000149,Cust00149,498,Germany,Female,18,4,54206.16,1,1,0,152.3,0
